#,Creator,Type,City,Category,Places,Tips / Summary,Flag,Video URL
1,@bookofjessica,📸 Slideshow,Da Nang,Food & Drink,,"And as always, check link in my bio for freebies and resources. DM me with any questions! Happy to help!",,https://www.tiktok.com/@bookofjessica/photo/7630704801453477151
2,@stepinutopia,📸 Slideshow,Da Nang,Food & Drink,,send me more recommendations to try!!,,https://www.tiktok.com/@stepinutopia/photo/7628289556294503696
3,@danangholic.tiktok,🎥 Video,Da Nang,Food & Drink,,if you're looking for a restaurant in Danang with river view + all day dining. Check out I HATE MONDAY,,https://www.tiktok.com/@danangholic.tiktok/video/7636010557014805780
4,@stepinutopia,🎥 Video,Da Nang,Food & Drink,the roof,"one of my favorite bar in Da Nang!good view, good music & amazing drinks + foods 😍must visit in Da Nang to chill & enjoying the view 😍📍the roof",,https://www.tiktok.com/@stepinutopia/video/7637192958353149201
5,@elanhw,📸 Slideshow,Da Nang,Food & Drink,,Promise we do eat local food too 🫣,,https://www.tiktok.com/@elanhw/photo/7625675117938380054
6,@gowithcy,📸 Slideshow,Da Nang,Food & Drink,,"after spending months eating my way around da nang, i finally put together my full google maps list ✨i’ve personally tried almost all of the places in…",,https://www.tiktok.com/@gowithcy/photo/7640493669643996434
8,@vietnam_expresstour,🎥 Video,Da Nang,Itinerary,,20 hidden gems in Da Nang you probably didn’t know existed 🇻🇳,,https://www.tiktok.com/@vietnam_expresstour/video/7640542705780624660
9,@dwendyt,📸 Slideshow,Ho Chi Minh,Food & Drink,,"yes i went to vietnam for 10 days so i def ate ALOT… vietnam food hits and slide 8 was def my favourite, 10/10 for sure😭 send me back to vietnam!!!",,https://www.tiktok.com/@dwendyt/photo/7624904076530306325
10,@dwendyt,📸 Slideshow,Ho Chi Minh,General,,here’s the places i went in vietnam and how i feel about them! let me know your thoughts and if you feel the same 😌,,https://www.tiktok.com/@dwendyt/photo/7640483842289192213
11,@joelchoozw,🎥 Video,Ho Chi Minh,Shopping,,My Ho Chi Minh shopping guide!,,https://www.tiktok.com/@joelchoozw/video/7630356619804593429
12,@nasindanang,📸 Slideshow,Hoi An,Tips & Budget,,"6 things you must to do in Hoi An, Viet Nam! 🇻🇳",,https://www.tiktok.com/@nasindanang/photo/7619320732782300437
13,@notesfrommax,📸 Slideshow,Hoi An,Activity,,"📌 SAVE this for your next trip to Hoi An 🇻🇳If you’re planning a trip to Vietnam, Hoi An MUST be on your list 🤩There is so much to see and do in Hoi An…",,https://www.tiktok.com/@notesfrommax/photo/7616351301064068373
14,@vietnam_expresstour,🎥 Video,Ba Na Hills,Attraction,"Ba Na Hills - ride one of the world’s longest cable cars and walk the iconic Golden Bridge 🌉😍📍 My Khe Beach - soft sand, clear water, and perfect sunrise vibes 🏖️💙📍 Marble Mountains - caves, temples, and epic viewpoints ⛰️✨📍 Dragon Bridge - catch the fire & water show on weekends 🔥🐉📍 Son Tra Peninsula - scenic coastal roads and hidden nature spots 🌿🐒📍 Han Market - local food, souvenirs, and authentic vibes 🛍️🍜📍 Hai Van Pass - one of the most beautiful coastal drives in the world 🛵🌊📍 Beach bars along My Khe Beach - sunset cocktails and chill vibes 🍹🌅📍 Love Bridge Da Nang - romantic spot by the Han River 💖📍 Hoi An Ancient Town - just 30 minutes away, magical lantern nights 🏮✨So… is Da Nang on your bucket list yet? 😍📩 DM for Da Nang tours & travel tips!",10 places you can’t miss during your holiday in Da Nang 🇻🇳✨📍 Ba Na Hills - ride one of the world’s longest cable cars and walk the iconic Golden Bridg…,,https://www.tiktok.com/@vietnam_expresstour/video/7633440222952295700
15,@frickinalexnguyen,🎥 Video (no caption),Ho Chi Minh,Shopping,Mozaic Space; Wedooks,"Must-buy in Vietnam: smart casual trousers. Best spots in Saigon: Mozaic Space and Wedooks. Both offer quality, well-fitting pants for smart casual style.",,https://www.tiktok.com/@frickinalexnguyen/video/7622108524016946463
