Day,Stop,Option Name,City,Maps URL (paste from Google Maps),Lat,Lon
Rabu 29 Jul,Lunch Da Nang,Phở Hub,Da Nang,"https://www.google.com/maps/place/Restoran+halal+Th%C3%ACa+G%E1%BB%97+-+Danang/@16.0529867,108.2415777,16z/data=!3m1!4b1!4m6!3m5!1s0x314219c3b54c18d7:0x5028941bdf1ab5f5!8m2!3d16.0529867!4d108.2415777!16s%2Fg%2F11f3q_8q_1?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D",,
Rabu 29 Jul,Lunch Da Nang,Phở Thìn Hồ Nghinh,Da Nang,"https://www.google.com/maps/place/Ph%E1%BB%9F+Hub+-+Halal+Vietnamese+Cuisine/@16.0499198,108.2395701,17z/data=!3m1!4b1!4m6!3m5!1s0x3142174d6ec58deb:0x5c9ad93803e32cfc!8m2!3d16.0499198!4d108.2395701!16s%2Fg%2F11n9cm8c63?entry=tts&g_ep=EgoyMDI2MDcyMi4wIPu8ASoASAFQAw%3D%3D&skid=00ff4426-112b-4d39-afeb-dab1e6a903bd",,
Rabu 29 Jul,Coffee Shop Da Nang (opsional),Trạm 247 Tea n Coffee - CN Lý Thái Tông,Da Nang,,16.071688,108.173556
Rabu 29 Jul,Dinner Seafood Da Nang,CẬU CẢ HẢI SẢN - 955 Nguyễn Tất Thành - Tầng 1,Da Nang,,16.07478,108.184767
Rabu 29 Jul,Dinner Seafood Da Nang,Hai San Nam Danh Seafood,Da Nang,,16.102297,108.253399
Kamis 30 Jul,Dinner Da Nang,Pizza 4P's Hoang Van Thu,Da Nang,,16.062743,108.222798
Kamis 30 Jul,Dinner Da Nang,Umi Town Izakaya,Da Nang,,16.061301,108.229752
Kamis 30 Jul,Dinner Da Nang,I HATE MONDAY DANANG,Da Nang,,16.045345,108.235747
Kamis 30 Jul,Dinner Da Nang,Halal Food Karim,Da Nang,,16.056489,108.231612
Kamis 30 Jul,Spa Day,Hill Spa - Body & Foot Massage,Da Nang,,16.049008,108.247208
Kamis 30 Jul,Spa Day,T Spa 196 Trần Phú,Da Nang,,16.064472,108.223352
Jumat 31 Jul,Pasar Pagi Da Nang + Kopi Takeaway,Bac My An Market,Da Nang,,16.041641,108.206328
Jumat 31 Jul,Pasar Pagi Da Nang + Kopi Takeaway,Han Market (Souvenir),Da Nang,,16.068084,108.219563
Jumat 31 Jul,Pasar Pagi Da Nang + Kopi Takeaway,Con Market (Traditional Market),Da Nang,,16.067793,108.209977
Jumat 31 Jul,Pasar Pagi Da Nang + Kopi Takeaway,WONDERLUST - Coffee & Souvenir,Da Nang,,16.069156,108.223843
Jumat 31 Jul,Pasar Pagi Da Nang + Kopi Takeaway,Cộng Cà Phê (Kopi Pagi),Da Nang,,,
Jumat 31 Jul,Pasar Pagi Da Nang + Kopi Takeaway,Avocado Ice Cream - Kem Bơ Cô Vân chợ Bắc Mỹ An,Da Nang,,16.041591,108.242327
Jumat 31 Jul,Lunch Hoi An,Little Faifo Restaurant,Hoi An,,15.876603,108.329024
Jumat 31 Jul,Lunch Hoi An,Tasty House - Vietnamese & Indian Halal Restaurant,Hoi An,,15.875826,108.320214
Jumat 31 Jul,Coffee Shop Hoi An,Moments Hoi An,Hoi An,,15.877027,108.328675
Jumat 31 Jul,Coffee Shop Hoi An,Mót Hội An - Nước Thảo Mộc Sả Chanh,Hoi An,,15.877171,108.327334
Jumat 31 Jul,Dinner + Son Tra Night Market,Pizza 4P's Hoang Van Thu,Da Nang,,16.062743,108.222798
Jumat 31 Jul,Dinner + Son Tra Night Market,Umi Town Izakaya,Da Nang,,16.061301,108.229752
Jumat 31 Jul,Dinner + Son Tra Night Market,I HATE MONDAY DANANG,Da Nang,,16.045345,108.235747
Jumat 31 Jul,Dinner + Son Tra Night Market,Halal Food Karim,Da Nang,,16.056489,108.231612
Sabtu 1 Agu,Lunch HCM,Musa Karim Halal Restaurant,Ho Chi Minh,,10.771647,106.69677
Sabtu 1 Agu,Lunch HCM,Com Tam Bo Nuong Halal,Ho Chi Minh,,10.770009,106.665404
Sabtu 1 Agu,Coffee Shop Saigon #1,Make Room,Ho Chi Minh,,10.777044,106.702053
Sabtu 1 Agu,The Cafe Apartment & Sekitarnya,The Cafe Apartment (Building),Ho Chi Minh,,10.774089,106.699553
Sabtu 1 Agu,The Cafe Apartment & Sekitarnya,CULCAT & THRIFT MAMA (Souvenir),Ho Chi Minh,,10.772457,106.697866
Sabtu 1 Agu,The Cafe Apartment & Sekitarnya,LIDER (Clothing),Ho Chi Minh,,10.773487,106.702711
Sabtu 1 Agu,The Cafe Apartment & Sekitarnya,LIBE (Clothing),Ho Chi Minh,,,
Sabtu 1 Agu,Dinner HCM,Chef House Halal Food,Ho Chi Minh,,10.77172,106.703809
Minggu 2 Agu,Explore Tan Dinh,Tan Dinh Church (Gereja Pink),Ho Chi Minh,,10.788336,106.690679
Minggu 2 Agu,Explore Tan Dinh,Fahasa Bookstore (Souvenir),Ho Chi Minh,,10.809889,106.722164
Minggu 2 Agu,Explore Tan Dinh,Thuong Xanh Film & Camera,Ho Chi Minh,,10.786605,106.686108
Minggu 2 Agu,Explore Tan Dinh,Ngam Cafe,Ho Chi Minh,,10.78644,106.686193
Minggu 2 Agu,Lunch HCM,Bo Ne Thanh Tu,Ho Chi Minh,,10.786522,106.701505
Minggu 2 Agu,Lunch HCM,Mặn Mòi Tao Đàn - Homey Authentic Vietnamese Cuisine,Ho Chi Minh,,10.778679,106.692018
Minggu 2 Agu,Opsi A atau B — Sore HCM,⬡ Opsi A — D5 - Thien Hau Pagoda,Ho Chi Minh,,10.75325,106.656667
Minggu 2 Agu,Opsi A atau B — Sore HCM,⬡ Opsi A — D5 - Binh Tay Market,Ho Chi Minh,,10.749364,106.651045
Minggu 2 Agu,Opsi A atau B — Sore HCM,⬡ Opsi B — Saigon Riverfront Park,Ho Chi Minh,,10.77169,106.709801
Minggu 2 Agu,Dinner HCM,Chef House Halal Food,Ho Chi Minh,,10.77172,106.703809
